city,crime,value
504,Tondela,Crimes contra o Estado,17
505,Idanha-a-Nova,Crimes contra o Estado,3
506,Oleiros,Crimes contra o Estado,3
507,Proença-a-Nova,Crimes contra o Estado,0
508,Abrantes,Crimes contra o Estado,7
509,Entroncamento,Crimes contra o Estado,8
510,Torres Novas,Crimes contra o Estado,22
511,Belmonte,Crimes contra o Estado,9
512,Covilhã,Crimes contra o Estado,31
513,Fornos de Algodres,Crimes contra o Estado,0
514,Amares,Crimes de homicídio voluntário consumado,0
515,Vieira do Minho,Crimes de homicídio voluntário consumado,0
516,Porto,Crimes de homicídio voluntário consumado,3
517,Santa Maria da Feira,Crimes de homicídio voluntário consumado,0
518,Santo Tirso,Crimes de homicídio voluntário consumado,0
519,Felgueiras,Crimes de homicídio voluntário consumado,0
520,Alijó,Crimes de homicídio voluntário consumado,0
521,Armamar,Crimes de homicídio voluntário consumado,0
522,Peso da Régua,Crimes de homicídio voluntário consumado,0
523,Sabrosa,Crimes de homicídio voluntário consumado,0
524,Vila Real,Crimes de homicídio voluntário consumado,0
526,Aveiro,Crimes de homicídio voluntário consumado,0
527,Ílhavo,Crimes de homicídio voluntário consumado,0
528,Vagos,Crimes de homicídio voluntário consumado,0
530,Peniche,Roubo por esticão e na via pública,24
531,Sobral de Monte Agraço,Roubo por esticão e na via pública,0
532,Lousã,Roubo por esticão e na via pública,0
534,Alvaiázere,Roubo por esticão e na via pública,0
535,Porto de Mós,Roubo por esticão e na via pública,4
536,Nelas,Roubo por esticão e na via pública,0
537,Beira Baixa,Roubo por esticão e na via pública,0
538,Odemira,Crimes contra o Estado,18
539,Sines,Crimes contra o Estado,17
540,Mértola,Crimes contra o Estado,5
541,Ourique,Crimes contra o Estado,0
542,Vidigueira,Crimes contra o Estado,0
543,Almeirim,Crimes contra o Estado,16
544,Elvas,Crimes contra o Estado,18
545,Évora,Crimes contra o Estado,32
546,Portel,Crimes contra o Estado,0
547,Alcoutim,Crimes contra o Estado,0
548,Lagoa,Crimes contra o Estado,10
549,Tavira,Crimes contra o Estado,17
550,Nordeste,Crimes contra o Estado,0
552,Lousã,Crimes de homicídio voluntário consumado,0
553,Figueiró dos Vinhos,Crimes de homicídio voluntário consumado,0
554,Aguiar da Beira,Crimes de homicídio voluntário consumado,0
555,Nelas,Crimes de homicídio voluntário consumado,0
556,Penalva do Castelo,Crimes de homicídio voluntário consumado,0
557,Santa Comba Dão,Crimes de homicídio voluntário consumado,0
558,Idanha-a-Nova,Crimes de homicídio voluntário consumado,0
559,Médio Tejo,Crimes de homicídio voluntário consumado,0
560,Ourém,Crimes de homicídio voluntário consumado,0
561,Sardoal,Crimes de homicídio voluntário consumado,0
562,Tomar,Crimes de homicídio voluntário consumado,0
563,Celorico da Beira,Crimes de homicídio voluntário consumado,0
564,Figueira de Castelo Rodrigo,Crimes de homicídio voluntário consumado,0
565,Fornos de Algodres,Crimes de homicídio voluntário consumado,0
566,Fundão,Crimes de homicídio voluntário consumado,0
567,Gouveia,Crimes de homicídio voluntário consumado,0
568,Mêda,Crimes de homicídio voluntário consumado,0
