,city,crime,value,latitude,longitude
121,Marinha Grande,Violência doméstica contra cônjuge ou análogos,135,39.75058365,-8.93155861
122,Pombal,Violência doméstica contra cônjuge ou análogos,101,39.91378021,-8.627491
123,Aguiar da Beira,Violência doméstica contra cônjuge ou análogos,10,40.81547165,-7.54527664
124,Penalva do Castelo,Violência doméstica contra cônjuge ou análogos,17,40.67428207,-7.69987535
125,Borba,Condução sem habilitação legal,0,-4.39347792,-59.59477234
126,Tavira,Condução sem habilitação legal,23,37.12581253,-7.64984083
127,Corvo,Condução sem habilitação legal,0,39.69984818,-31.10597992
128,Lajes das Flores,Condução sem habilitação legal,0,39.40552902,-31.21777916
129,Porto Santo,Condução sem habilitação legal,0,33.06044006,-16.33327866
130,Sardoal,Crimes contra a vida em sociedade,26,39.53337479,-8.16019726
131,Belmonte,Crimes contra a vida em sociedade,56,40.35845184,-7.35138988
132,Fundão,Crimes contra a vida em sociedade,190,40.13693619,-7.49945498
133,Manteigas,Crimes contra a vida em sociedade,13,40.4005394,-7.53964806
134,Mêda,Crimes contra a vida em sociedade,27,45.65996552,9.15445805
135,Pinhel,Crimes contra a vida em sociedade,67,40.77603912,-7.06289673
136,Seia,Crimes contra a vida em sociedade,118,40.42037964,-7.70321274
137,Barreiro,Crimes contra a vida em sociedade,445,38.66132736,-9.0758543
138,Lisboa,Crimes contra a vida em sociedade,3246,38.70700836,-9.1356411
139,Évora,Crimes contra a integridade física,287,38.57098389,-7.90960217
140,Mourão,Crimes contra a integridade física,28,38.38482666,-7.34661865
141,Portimão,Crimes contra a integridade física,361,37.13763428,-8.53439903
142,Silves,Crimes contra a integridade física,273,37.18990326,-8.43859005
143,São Roque do Pico,Crimes contra a integridade física,30,38.52944183,-28.32193947
144,Porto Moniz,Crimes contra a integridade física,8,32.86751175,-17.16622353
145,Arcos de Valdevez,Ofensa à integridade física voluntária simples,42,41.84728241,-8.41852379
146,Valença,Ofensa à integridade física voluntária simples,50,42.02396011,-8.63328552
147,Ave,Ofensa à integridade física voluntária simples,661,53.51245117,13.01904678
148,Cabeceiras de Basto,Ofensa à integridade física voluntária simples,28,41.53300095,-8.0170002
149,Mora,Furto de veículo e em veículo motorizado,4,45.8757782,-93.29205322
150,Calheta,Furto de veículo e em veículo motorizado,0,32.72077179,-17.17760849
151,Lajes das Flores,Furto de veículo e em veículo motorizado,0,39.40552902,-31.21777916
152,Santa Cruz,Furto de veículo e em veículo motorizado,34,36.97414017,-122.02880096
153,Monção,Crimes contra a identidade cultural e integridade pessoal,0,42.0788269,-8.48013496
154,Ponte da Barca,Crimes contra a identidade cultural e integridade pessoal,0,41.80789185,-8.41952419
155,Valença,Crimes contra a identidade cultural e integridade pessoal,0,42.02396011,-8.63328552
156,Viana do Castelo,Crimes contra a identidade cultural e integridade pessoal,0,41.69456863,-8.830163
157,Vila Nova de Cerveira,Crimes contra a identidade cultural e integridade pessoal,0,41.94009781,-8.74443722
158,Amares,Crimes contra a identidade cultural e integridade pessoal,0,41.63127136,-8.34902859
159,Barcelos,Crimes contra a identidade cultural e integridade pessoal,0,41.53153992,-8.61895847
160,Vila Verde,Crimes contra a identidade cultural e integridade pessoal,0,41.65150452,-8.43593693
161,Vila Franca de Xira,Crimes contra a vida em sociedade,340,38.95428085,-8.98968601
162,Aljustrel,Crimes contra a vida em sociedade,41,37.87678146,-8.16631699
163,Alvito,Crimes contra a vida em sociedade,27,41.68787384,13.7423687
164,Cuba,Crimes contra a vida em sociedade,32,23.013134,-80.83287811
165,Cartaxo,Crimes contra a vida em sociedade,103,39.16181564,-8.78637505
166,Alter do Chão,Crimes contra a vida em sociedade,23,39.20027542,-7.65912724
167,Castelo de Vide,Crimes contra a vida em sociedade,10,39.41464996,-7.45658541
168,Gavião,Crimes contra a vida em sociedade,3,39.46493912,-7.9367938
169,Marvão,Crimes contra a vida em sociedade,14,39.39356995,-7.37364578
170,Monforte,Crimes contra a vida em sociedade,14,39.05305099,-7.43885565
171,Nisa,Crimes contra a vida em sociedade,37,39.51950836,-7.65380144
172,Vendas Novas,Crimes contra a vida em sociedade,70,38.67736816,-8.45521164
173,Algarve,Crimes contra a vida em sociedade,2446,37.01443863,-7.93527985
174,Albufeira,Crimes contra a vida em sociedade,403,37.08898926,-8.25228214
175,Alcoutim,Crimes contra a vida em sociedade,15,37.4710083,-7.47270346
176,Portimão,Crimes contra a vida em sociedade,260,37.13763428,-8.53439903
177,Arronches,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",6,39.12173462,-7.28415585
178,Campo Maior,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",26,39.01004028,-7.06819487
179,Sousel,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9,38.95223618,-7.67602539
180,Borba,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9,-4.39347792,-59.59477234
181,Mourão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",6,38.38482666,-7.34661865
