city,crime,value
369,Velas,Crimes previstos em legislação avulsa,14
370,Porto Moniz,Crimes previstos em legislação avulsa,0
371,Ribeira Brava,Crimes previstos em legislação avulsa,6
372,Arcos de Valdevez,Condução sem habilitação legal,31
373,Caminha,Condução sem habilitação legal,17
374,Vila Verde,Condução sem habilitação legal,28
375,Arouca,Condução sem habilitação legal,5
376,Maia,Condução sem habilitação legal,206
377,Médio Tejo,Ofensa à integridade física voluntária simples,428
378,Abrantes,Ofensa à integridade física voluntária simples,58
379,Mação,Ofensa à integridade física voluntária simples,16
380,Beiras e Serra da Estrela,Ofensa à integridade física voluntária simples,0
381,Guarda,Ofensa à integridade física voluntária simples,68
382,Barreiro,Ofensa à integridade física voluntária simples,198
383,Odivelas,Ofensa à integridade física voluntária simples,190
384,Sesimbra,Ofensa à integridade física voluntária simples,111
385,Almodôvar,Ofensa à integridade física voluntária simples,20
386,Lezíria do Tejo,Ofensa à integridade física voluntária simples,496
394,Idanha-a-Nova,Violência doméstica contra cônjuge ou análogos,21
395,Aguiar da Beira,Crimes previstos em legislação avulsa,10
396,Castro Daire,Crimes previstos em legislação avulsa,17
397,Oliveira de Frades,Crimes previstos em legislação avulsa,12
398,Ferreira do Zêzere,Crimes previstos em legislação avulsa,15
400,Cascais,Crimes previstos em legislação avulsa,387
401,Loures,Crimes previstos em legislação avulsa,680
402,Alpiarça,Ofensa à integridade física voluntária simples,18
403,Alter do Chão,Ofensa à integridade física voluntária simples,6
404,Gavião,Ofensa à integridade física voluntária simples,0
405,Monforte,Ofensa à integridade física voluntária simples,6
406,Penamacor,Crimes contra a identidade cultural e integridade pessoal,0
407,Entroncamento,Crimes contra a identidade cultural e integridade pessoal,0
408,Tomar,Crimes contra a identidade cultural e integridade pessoal,0
409,Torres Novas,Crimes contra a identidade cultural e integridade pessoal,0
410,Vila Nova da Barquinha,Crimes contra a identidade cultural e integridade pessoal,0
411,Espinho,Crimes contra o património,442
412,Gondomar,Crimes contra o património,1554
413,Maia,Crimes contra o património,2527
414,Matosinhos,Crimes contra o património,3306
415,Paredes,Crimes contra o património,657
416,Póvoa de Varzim,Crimes contra o património,771
417,Bragança,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",93
418,Mogadouro,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",19
419,Lourinhã,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",18
421,Miranda do Corvo,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",14
422,Montemor-o-Velho,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",71
423,Pampilhosa da Serra,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",14
425,Castanheira de Pêra,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",10
426,Carregal do Sal,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",31
427,Santa Comba Dão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",28
428,Sátão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",15
429,Vila Nova de Paiva,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",24
430,Tomar,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",36
432,Paredes de Coura,Crimes contra as pessoas,65
433,Cávado,Crimes contra as pessoas,2904
434,Fafe,Crimes contra as pessoas,357
435,Manteigas,Crimes contra a identidade cultural e integridade pessoal,0
436,Alcochete,Crimes contra a identidade cultural e integridade pessoal,0
437,Cascais,Crimes contra a identidade cultural e integridade pessoal,6
438,Lisboa,Crimes contra a identidade cultural e integridade pessoal,44
439,Montijo,Crimes contra a identidade cultural e integridade pessoal,5
440,Palmela,Crimes contra a identidade cultural e integridade pessoal,0
441,Alentejo,Crimes contra a identidade cultural e integridade pessoal,12
442,Baixo Alentejo,Crimes contra a identidade cultural e integridade pessoal,3
443,Mértola,Crimes contra a identidade cultural e integridade pessoal,0
444,Lezíria do Tejo,Crimes contra a identidade cultural e integridade pessoal,7
445,Golegã,Crimes contra a identidade cultural e integridade pessoal,0
446,Rio Maior,Crimes contra a identidade cultural e integridade pessoal,0
447,Arronches,Crimes contra a identidade cultural e integridade pessoal,0
448,Castelo de Vide,Crimes contra a identidade cultural e integridade pessoal,0
449,Crato,Crimes contra a identidade cultural e integridade pessoal,0
450,Arraiolos,Crimes contra a identidade cultural e integridade pessoal,0
451,Castelo de Paiva,Condução sem habilitação legal,6
452,Felgueiras,Condução sem habilitação legal,56
453,Resende,Condução sem habilitação legal,17
454,Douro,Condução sem habilitação legal,118
455,Mesão Frio,Condução sem habilitação legal,4
456,Peso da Régua,Condução sem habilitação legal,13
457,Sabrosa,Condução sem habilitação legal,3
458,Terras de Trás-os-Montes,Condução sem habilitação legal,64
459,Peniche,Condução sem habilitação legal,49
460,Torres Vedras,Condução sem habilitação legal,216
462,Águeda,Condução sem habilitação legal,67
463,Oliveira do Bairro,Condução sem habilitação legal,59
464,Cantanhede,Condução sem habilitação legal,37
465,Góis,Condução sem habilitação legal,4
466,Soure,Condução sem habilitação legal,6
467,Tábua,Condução sem habilitação legal,9
468,Viseu Dão Lafões,Condução sem habilitação legal,0
469,Reguengos de Monsaraz,Ofensa à integridade física voluntária simples,29
470,Moimenta da Beira,Crimes contra as pessoas,111
471,Macedo de Cavaleiros,Crimes contra as pessoas,115
473,Alcobaça,Crimes contra as pessoas,335
474,Alenquer,Crimes contra as pessoas,347
475,Arruda dos Vinhos,Crimes contra as pessoas,98
476,Bombarral,Crimes contra as pessoas,86
477,Nazaré,Crimes contra as pessoas,120
478,Óbidos,Crimes contra as pessoas,63
479,Freixo de Espada à Cinta,Crimes contra o património,31
480,Murça,Crimes contra o património,33
481,Peso da Régua,Crimes contra o património,94
482,Torre de Moncorvo,Crimes contra o património,76
483,Terras de Trás-os-Montes,Crimes contra o património,1141
484,Lourinhã,Crimes contra o património,381
485,Albergaria-a-Velha,Crimes contra o património,408
486,Ovar,Crimes contra o património,714
487,Condeixa-a-Nova,Crimes contra o património,197
488,Lousã,Crimes contra o património,138
489,Oliveira do Hospital,Crimes contra o património,114
490,Ansião,Crimes contra o património,98
491,Aguiar da Beira,Crimes contra o património,51
492,Nelas,Crimes contra o património,214
493,Santa Comba Dão,Crimes contra o património,87
494,Fornos de Algodres,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",15
495,Lisboa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",1596
496,Montijo,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",106
497,Sesimbra,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",58
498,Alentejo,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",2034
499,Ourique,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",11
500,Coruche,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",60
501,Golegã,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",12
502,Alter do Chão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",11
503,Portalegre,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",77
504,Arraiolos,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",18
505,Estremoz,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",21
506,Évora,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",64
507,Algarve,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",1336
508,Loulé,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",391
509,Portimão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",130
510,São Brás de Alportel,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",28
511,Oliveira do Bairro,Crimes contra as pessoas,181
512,Mealhada,Crimes contra as pessoas,123
513,Figueiró dos Vinhos,Crimes contra as pessoas,29
514,Castro Daire,Crimes contra as pessoas,84
515,Médio Tejo,Crimes contra as pessoas,1750
516,Fundão,Crimes contra as pessoas,299
517,Pinhel,Crimes contra as pessoas,50
518,Sintra,Crimes contra as pessoas,2843
519,Torres Vedras,Crimes contra as pessoas,530
520,Aveiro,Crimes contra as pessoas,601
521,Ourém,Crimes contra o património,559
522,Beiras e Serra da Estrela,Crimes contra o património,2713
523,Valpaços,Crimes contra a vida em sociedade,135
524,Baião,Crimes contra a vida em sociedade,137
525,Oleiros,Condução sem habilitação legal,3
526,Abrantes,Condução sem habilitação legal,18
527,Figueira de Castelo Rodrigo,Condução sem habilitação legal,6
528,Pinhel,Condução sem habilitação legal,4
529,Cascais,Condução sem habilitação legal,203
530,Alentejo,Condução sem habilitação legal,1201
531,Odemira,Condução sem habilitação legal,143
532,Benavente,Condução sem habilitação legal,73
533,Chamusca,Condução sem habilitação legal,7
534,Ponte de Sor,Condução sem habilitação legal,37
535,Pinhel,Crimes contra o património,61
536,Sabugal,Crimes contra o património,124
537,Sines,Crimes contra o património,376
538,Moura,Crimes contra o património,178
539,Vidigueira,Crimes contra o património,122
540,Alto Alentejo,Crimes contra o património,1714
541,Arronches,Crimes contra o património,30
542,Mora,Crimes contra o património,64
543,Portel,Crimes contra o património,71
544,Albufeira,Crimes contra o património,1866
545,Alcoutim,Crimes contra o património,56
547,Ponta Delgada,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",201
548,Santa Cruz das Flores,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",0
550,Vila Verde,Crimes contra o Estado,13
551,Cabeceiras de Basto,Crimes contra o Estado,3
552,Guimarães,Crimes contra o Estado,42
553,Gondomar,Crimes contra o Estado,65
554,Póvoa de Varzim,Crimes contra o Estado,6
555,Montalegre,Crimes contra o Estado,0
556,Valpaços,Crimes contra o Estado,7
557,Felgueiras,Crimes contra o Estado,36
558,Aljustrel,Crimes contra as pessoas,90
559,Alvito,Crimes contra as pessoas,38
560,Vidigueira,Crimes contra as pessoas,67
561,Alpiarça,Crimes contra as pessoas,88
562,Coruche,Crimes contra as pessoas,177
563,Gavião,Crimes contra as pessoas,27
564,Monforte,Crimes contra as pessoas,21
565,Ponte de Sor,Crimes contra as pessoas,176
566,Algarve,Crimes contra as pessoas,5868
567,Portimão,Crimes contra as pessoas,579
568,Tavira,Crimes contra as pessoas,254
570,Câmara de Lobos,Crimes contra as pessoas,232
571,Funchal,Crimes contra as pessoas,1179
572,Alto Minho,Crimes de homicídio voluntário consumado,0
573,Arcos de Valdevez,Crimes de homicídio voluntário consumado,0
574,São Brás de Alportel,Crimes contra o património,231
575,Ponta Delgada,Crimes contra o património,1502
